,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Yuru Yuri Nachuyachumi!,801,2341,7.86,37454,70548,143,OVA,1,Finished Airing,N/A,2015,"['Sotsu', 'Pony Canyon']",['add some'],['TYO Animations'],"['Comedy', 'Girls Love']","['CGDCT', 'Gag Humor']",N/A
1,Wan Sheng Jie 3,802,7412,7.85,2505,5703,36,ONA,12,Finished Airing,N/A,2022,['Tencent Penguin Pictures'],['add some'],['Fenz'],"['Comedy', 'Supernatural']",Mythology,N/A
2,Wu Shan Wu Xing (2020),803,2899,7.85,15593,48081,325,ONA,3,Finished Airing,N/A,2020,['bilibili'],['add some'],"['Nice Boat Animation', 'Samsara Animation Studio']","['Action', 'Fantasy']","['Historical', 'Martial Arts']",N/A
3,Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!,804,547,7.85,243056,376295,617,OVA,1,Finished Airing,N/A,2016,['Half H.P Studio'],['Discotek Media'],['Studio Deen'],"['Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",N/A
4,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,805,3342,7.85,14982,36992,123,Movie,1,Finished Airing,N/A,2017,"['TMS Entertainment', 'TMS Music']",['Discotek Media'],['Telecom Animation Film'],"['Action', 'Adventure', 'Drama']",Adult Cast,Seinen
5,Magi: Sinbad no Bouken (TV),806,439,7.85,247357,456781,1509,TV,13,Finished Airing,Spring,2016,"['Aniplex', 'Mainichi Broadcasting System', 'Shogakukan']",['add some'],['Lay-duce'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
6,New Initial D Movie: Legend 3 - Mugen,807,4073,7.85,11483,24871,55,Movie,1,Finished Airing,N/A,2016,"['Shochiku', 'Kodansha', 'Ultra Super Pictures', 'Avex Pictures']",['Sentai Filmworks'],"['SANZIGEN', 'LIDENFILMS']",N/A,Racing,Seinen
7,Non Non Biyori Repeat: Hotaru ga Tanoshinda,808,2948,7.85,23310,46553,36,OVA,1,Finished Airing,N/A,2016,['add some'],['add some'],['SILVER LINK.'],N/A,"['CGDCT', 'Iyashikei', 'School']",Seinen
8,Paradise Kiss,809,1041,7.85,91672,208865,4032,TV,12,Finished Airing,Fall,2005,"['Aniplex', 'Dentsu', 'Fuji TV', 'Shodensha']",['Geneon Entertainment USA'],['Madhouse'],"['Drama', 'Romance']","['School', 'Visual Arts']",Josei
9,Sekaiichi Hatsukoi 2,810,1378,7.85,87610,151498,715,TV,12,Finished Airing,Fall,2011,"['Lantis', 'Kadokawa Shoten', 'AT-X', 'KlockWorx']",['Funimation'],['Studio Deen'],"['Boys Love', 'Comedy', 'Drama', 'Romance']","['Adult Cast', 'Workplace']",N/A
10,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,811,764,7.85,135708,282358,606,Movie,1,Finished Airing,N/A,2013,['Aniplex'],['Aniplex of America'],['A-1 Pictures'],"['Drama', 'Supernatural']",N/A,N/A
11,BanG Dream! Film Live 2nd Stage,812,7327,7.85,1290,5863,32,Movie,1,Finished Airing,N/A,2021,['add some'],['add some'],['SANZIGEN'],N/A,Music,N/A
12,Beastars,813,202,7.85,491718,789590,9345,TV,12,Finished Airing,Fall,2019,"['Movic', 'Fuji TV', 'Bandai', 'Toho', 'BS Fuji', 'TOHO animation', 'Q-Tec', 'Akita Shoten', 'Hakuhodo DY Media Partners', 'Bandai Spirits', 'Toho Music']",['add some'],['Orange'],"['Drama', 'Slice of Life']","['Anthropomorphic', 'Psychological', 'School']",Shounen
13,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,814,6172,7.85,4952,9068,104,Movie,1,Finished Airing,N/A,2001,"['TV Asahi', 'Asatsu DK']",['add some'],['Shin-Ei Animation'],"['Comedy', 'Sci-Fi']",N/A,Seinen
14,Detective Conan Movie 01: The Timed Skyscraper,815,2402,7.85,42366,67679,99,Movie,1,Finished Airing,N/A,1997,"['Shogakukan-Shueisha Productions', 'YTV']",['Funimation'],['TMS Entertainment'],"['Adventure', 'Comedy', 'Mystery']",Detective,Shounen
15,Detective Conan Movie 22: Zero the Enforcer,816,3850,7.85,14931,27818,58,Movie,1,Finished Airing,N/A,2018,"['Yomiuri Telecasting', 'Toho', 'Nippon Television Network', 'Shogakukan']",['Discotek Media'],['TMS Entertainment'],"['Action', 'Award Winning', 'Drama', 'Mystery']",Detective,N/A
16,Douluo Dalu,817,3996,7.85,10170,25741,470,ONA,26,Finished Airing,N/A,2018,['Tencent Penguin Pictures'],['add some'],['Sparkly Key Animation Studio'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Martial Arts', 'Reincarnation']",N/A
17,Hanasaku Iroha Movie: Home Sweet Home,818,2080,7.85,33740,85819,93,Movie,1,Finished Airing,N/A,2013,"['Sotsu', 'Lantis', 'Infinite']","['NIS America, Inc.']",['P.A. Works'],N/A,Workplace,N/A
18,Hoozuki no Reitetsu 2nd Season: Sono Ni,819,3892,7.85,11147,27336,51,TV,13,Finished Airing,Spring,2018,['add some'],['Sentai Filmworks'],['Studio Deen'],"['Comedy', 'Fantasy', 'Supernatural']",Mythology,Seinen
19,Hoozuki no Reitetsu OVA,820,4834,7.85,7239,16739,17,OVA,4,Finished Airing,N/A,2015,['Starchild Records'],['add some'],"['Studio Deen', 'Wit Studio']","['Comedy', 'Fantasy', 'Supernatural']",Mythology,Seinen
20,Ie Naki Ko,821,5093,7.85,4571,14490,258,TV,51,Finished Airing,Fall,1977,['ImaginAsian Entertainment'],['add some'],"['Madhouse', 'TMS Entertainment']","['Adventure', 'Drama', 'Slice of Life']",Historical,Kids
21,Jibaku Shounen Hanako-kun,822,361,7.85,262561,538428,11154,TV,12,Finished Airing,Winter,2020,"['Square Enix', 'Studio Hibari', 'Pony Canyon', 'TBS', 'Half H.P Studio', 'Contents Seed']",['Funimation'],['Lerche'],N/A,"['Mythology', 'School']",Shounen
22,K-On!,823,140,7.85,545552,998405,22931,TV,13,Finished Airing,Spring,2009,"['Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Animation Do']","['Bandai Entertainment', 'Sentai Filmworks']",['Kyoto Animation'],N/A,"['CGDCT', 'Music', 'School']",N/A
23,K-On!!: Keikaku!,824,1646,7.85,68201,119985,225,Special,1,Finished Airing,N/A,2011,"['Pony Canyon', 'Animation Do']",['Sentai Filmworks'],['Kyoto Animation'],"['Comedy', 'Slice of Life']","['CGDCT', 'Music', 'School']",N/A
24,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,825,5175,7.85,6712,13892,31,OVA,1,Finished Airing,N/A,2005,"['Hal Film Maker', 'GDH', 'MediaNet']",['Funimation'],['Gonzo'],"['Comedy', 'Drama']",N/A,Shoujo
25,Detective Conan Movie 23: The Fist of Blue Sapphire,827,3957,7.84,13997,26268,69,Movie,1,Finished Airing,N/A,2019,"['Shogakukan-Shueisha Productions', 'Yomiuri Telecasting', 'Nippon Television Network']",['Discotek Media'],['TMS Entertainment'],"['Action', 'Comedy', 'Drama', 'Mystery']",Detective,Shounen
26,Gekkan Shoujo Nozaki-kun,828,167,7.84,483660,882256,10672,TV,12,Finished Airing,Summer,2014,"['TV Tokyo', 'Frontier Works', 'Media Factory', 'AT-X', 'Sony Music Communications']",['Sentai Filmworks'],['Doga Kobo'],"['Comedy', 'Romance']","['Otaku Culture', 'School']",N/A
27,Grisaia no Meikyuu: Caprice no Mayu 0,829,980,7.84,131689,220651,673,Special,1,Finished Airing,N/A,2015,"['Frontier Works', 'NBCUniversal Entertainment Japan', 'Front Wing']",['Sentai Filmworks'],['8bit'],N/A,N/A,N/A
28,Heartcatch Precure!,830,3732,7.84,11066,29771,579,TV,49,Finished Airing,Winter,2010,['add some'],['add some'],['Toei Animation'],"['Action', 'Comedy', 'Fantasy']",Mahou Shoujo,N/A
29,Id:Invaded,831,637,7.84,140777,333377,2661,TV,13,Finished Airing,Winter,2020,"['Toei Animation', 'BS11', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa', 'Anima&Co.']",['Funimation'],['NAZ'],"['Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",N/A
30,Inu-Ou,832,4624,7.84,3925,18611,91,Movie,1,Finished Airing,N/A,2022,"['Asmik Ace', 'Tohokushinsha Film Corporation']",['GKIDS'],['Science SARU'],N/A,"['Historical', 'Music', 'Performing Arts']",N/A
31,K-On!: Live House!,833,1369,7.84,94087,153659,264,Special,1,Finished Airing,N/A,2010,"['Pony Canyon', 'Movic']","['Bandai Entertainment', 'Sentai Filmworks']",['Kyoto Animation'],N/A,"['CGDCT', 'Music', 'School']",N/A
